respnum,intdate,gendr,q1,q2a,q2b,q3a,q3b,q3c,q3d,q3e,q3f,q3g,q4a,q4b,q4c,q4d,q4e,q5a,q5b,q5c,q5d,q5e,q5f,q6,q6a,q8a,q8b,q91,q92,q93,q94,q98,q99,q910,q911,q911a,q912,q10,q11a,q11b,q12,q131,q132,q133,q134,q138,q139,q1310,q13a0,q1311,q1312,q13a2,q14,q15,q16a,q16b,q16c,q17,q181,q182,q183,q184,q189,q1810,q1811,q1814,q1815,q19,q201,q202,q203,q204,q209,q2010,q2011,q2014,q2015,q2016,q21,q221,q222,q223,q224,q229,q2210,q2211,q2214,q2215,q2216,q23,q23aa,q23ab,q23a,q23b,q23c,q23d,q23ea,q23eb,q23ec,q23ed,q23ee,q23ef,q23e,q23e1,q23f,q23f1,q23fg,q23h,q24,q25b,q26,q28,q28y,q28m,q30a,q31,q32,q33,q34,q35,q37,wt,filter_$
30904617,20030922,2,15,6, ,6,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,6,0,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,20, , ,8,7,8,8,7,8,8,9,9,9, , , , , , , , , , , , , , , , , , , , , , , ,2, ,8, ,8,8, , , , , , ,2, ,2, ,1,1,1,1,1, ,1, ,5,5,2,4,6,3,5,1.47434531711664,1
30905020,20030922,2,14,3, ,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,3,0,0,8,7, , , , , , , , , , , , ,2,18,7,9,5,5,4,9,7,8,5,2,9,7, ,2,1,19, , ,9,9,9,9,9,9,9,9,9,7, , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,5,5, , , , , , ,2, ,2, ,1,1,3,1,3, ,20, ,4,4,4,3,1,3,8,1.18248673243046,0
30906164,20030922,2,15,6, ,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,22, , ,8,10,10,9,9,9,8,9,9,7, , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,7,2, , , , , , ,1,9,2, ,3,1,1,1,1, ,2, ,5,3,1,4,1,5,5,1.47434531711664,1
30906381,20030922,2,4,0,4,.216333153055706,0,0,0,0,0,0,.216333153055706,0,0,0,0,0,0,0,.216333153055706,0,0,10,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,861, , ,10,10,10,10,10,10,10,5,7,5, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,7,5, , , , , , ,2, ,2, ,1,1,1,2,1, , ,6,5,4,2,5,4,2,1,1.13702351019604,0
30906469,20030922,1,15,10, ,10,0,0,0,0,0,0,5,0,4,1,0,10,0,0,0,0,0,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,129, , ,7,7,7,6,8,7,7,7,7,5, , , , , , , , , , , , , , , , , , , , , , , ,1,6,7, ,8,6, , , , , , ,2, ,1,7,1,4,2,2,3, ,20, ,4,4,1,4,1,4,5,1.32950730318148,0
30908546,20030922,2,1,2, ,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,10,10, , , , , , , , , , , , ,2,3,28,10,9,9,10,10,10,9,97, ,10,10, ,2,1,110, , ,10,10,10,10,10,10,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , , ,2, ,9, ,10,9, , , , , , ,2, ,2, ,1,6,97,1,3, , ,1,5,4,2,6,6,2,98,.877548914279505,1
30909225,20030922,2,2,7, ,7,0,0,0,0,0,0,4,0,3,0,0,7,0,0,0,0,0,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,838, , ,8,9,9,8,5,8,10,10,8,5, , , , , , , , , , , , , , , , , , , , , , , ,2, ,8, ,8,8, , , , , , ,2, ,1,9,1,1,1,2,1, ,3, ,5,4,2,3,1,3,3,.549339674153883,0
30909711,20030922,2,2,7, ,6,0,0,1,0,0,0,6,0,0,0,1,6,0,0,0,1,0,9,8, , , , , , , , , , , , ,5,29,4,8,10,8,8,6,7,6,7, ,9,7, ,5,1,152, , ,8,9,10,8,7,9,7,7,9,9, , , , , , , , , , , , , , , , , , , , , , , ,1,6,8, ,8,8, , , , , , ,1,9,2, ,1,2,1,2,2, ,15, ,5,5,1,3,2,3,3,.549339674153883,0
30910492,20030922,1,12,2, ,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,98, , ,9,10,9,8,10,10,9,9,9,8, , , , , , , , , , , , , , , , , , , , , , , ,2, ,10, ,7,8, , , , , , ,2, ,1,8,1,1,2,1,3, , ,6,4,5,4,1,3,1,2,1.10708382398585,1
30913630,20030922,2,9,6, ,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,5,5,1,9,9,9,7,9,9,10,9,97, ,98, , , , , , , , , , , , , , , ,1,2,50,246, ,5,7,9,6,7,3,8,5,4,3,4,7,8,3,4,8,8,8,7,5,2, , , , , , , , , , , , ,1,4,4, ,7,2, , , , , , ,2, ,1,7,3,4,2,2,3, ,3, ,2,3,2,3,1,5,6,.430356629249645,1
30914810,20030922,1,9,21, ,21,0,0,0,0,0,0,15,6,0,0,0,0,0,21,0,0,0,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,255,230, ,8,8,8,8,9,8,97,8,7,8,7,7,9,8,9,6,8,9,8,9,2, , , , , , , , , , , , ,1,9,7, ,7,6, , , , , , ,1,8,2, ,1,2,1,2,3, ,5, ,4,4,1,6,6,5,1,.478444373582513,1
30916132,20030922,2,9,0,4,0,0,.216333153055706,0,0,0,0,0,.216333153055706,0,0,0,0,0,.216333153055706,0,0,0,4,4,2,8,8,10,7,8,8,10,7,8, ,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,6,5, , , , , , ,2, ,1,7,3,4,2,1,3, ,3, ,5,5,2,4,1,5,5,.430356629249645,0
30907206,20030923,2,15,4, ,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,9,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,10, , ,10,10,10,10,7,10,10,10,10,9, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,10,10, , , , , , ,2, ,2, ,2,1,1,1,3, ,30, ,5,5,2,6,6,5,98,1.78760962628707,0
30909296,20030923,2,11,2, ,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10,10, , , , , , , , , , , , ,5,3,29,9,10,10,9,9,10,10,9, ,10,10, ,5,1,97, , ,10,9,10,10,10,10,10,8,10,10, , , , , , , , , , , , , , , , , , , , , , , ,2, ,10, ,10,6, , , , , , ,1,10,2, ,1,1,3,1,3, ,30, ,5,5,2,6,6,4,4,.85691529596868,0
30909406,20030923,2,1,14, ,7,0,0,7,0,0,0,5,0,5,0,4,0,14,0,0,0,0,8,8, , , , , , , , , , , , ,1,27,28,8,8,8,8,7,8,9,7, ,9,9, ,1,1,110, , ,8,8,8,8,8,6,8,9,8,6, , , , , , , , , , , , , , , , , , , , , , , ,1,7,7, ,8,7, , , , , , ,2, ,1,9,1,2,1,1,1, ,1, ,4,5,3,1,3,1,97,1.06667579946043,1
30912270,20030923,2,9,1, ,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,230, , ,8,10,10,10,10,10,10,10,10,97, , , , , , , , , , , , , , , , , , , , , , , ,2, ,10, ,97,97, , , , , , ,2, ,1,5,1,95,1,1,3,3, , ,2,4,2,2,3,5,98,.677005365819992,1
30915036,20030923,1,12,10, ,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,7,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,492,407, ,8,97,8,9,6,6,8,10,8,7,7,97,10,10,10,6,7,10,10,6,2, , , , , , , , , , , , ,1,5,6, ,7,4, , , , , , ,1,5,1,8,1,2,2,1,3, ,1, ,5,4,1,3,1,5,8,.625491790050823,0
30915554,20030923,1,17,10, ,10,0,0,0,0,0,0,5,5,0,0,0,10,0,0,0,0,0,10,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,255, , ,10,10,10,10,10,10,9,10,8,9, , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,5,6, , , , , , ,2, ,2, ,1,4,2,2,3, ,30, ,5,97,2,98,1,5,98,.981765599551064,0
30916298,20030923,2,13,1, ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,2, , , , , , , , , , , , ,4,17,5,6,1,1,5,2,10,97,1,2,98,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,4,4, , , , , , ,2, ,2, ,1,1,3,1,2,3, , ,4,4,7,2,1,3,3,.499040407889129,0
30916626,20030923,1,19,7, ,5,0,2,0,0,0,0,0,3,3,0,1,0,0,0,0,7,0,8,10,3,8,10,6,10,10,10,10,10,10, ,97, , , , , , , , , , , , , , , ,2,2,239,211, ,10,10,10,10,10,10,10,97,7,97,10,9,10,10,10,10,10,10,10,97,1, , , , , , , , , , , , ,1,7,10, ,97,97, , , , , , ,2, ,2, ,1,1,2,1,97, , ,1,5,5,2,6,6,3,98,.478444373582513,0
30904996,20030924,1,15,0,2,0,.108166576527853,0,0,0,0,0,0,.108166576527853,0,0,0,0,0,0,0,0,.108166576527853,3,7, , , , , , , , , , , , ,2,5,3,8,97,10,10,10,10,10,1,2,97,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5, ,3,97, , , , , , ,2, ,2, ,3,1,1,1,3, ,17, ,5,3,1,4,1,5,6,1.32950730318148,1
30905877,20030924,2,15,10, ,10,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4, , ,8,10,10,10,5,10,10,10,8,10, , , , , , , , , , , , , , , , , , , , , , , ,2, ,5, ,10,7, , , , , , ,2, ,1,10,1,2,1,1,1, , ,3,5,5,2,2,1,5,9,1.34321232745191,1
30906470,20030924,2,1,3, ,0,1,0,2,0,0,0,2,1,0,0,0,0,2,1,0,0,0,7,2, , , , , , , , , , , , ,2,13,10,8,1,8,1,2,5,4,1,2,8,1,3,1,2,112,106, ,8,8,8,7,8,7,8,8,8,2,9,9,8,7,9,9,8,9,9,10,2, , , , , , , , , , , , ,2, ,7, ,7,6, , , , , , ,2, ,2, ,1,4,1,2,1, ,20, ,4,4,4,2,5,3,1,1.06667579946043,0
30906669,20030924,2,15,5, ,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5, , ,6,9,9,8,4,5,8,8,7,8, , , , , , , , , , , , , , , , , , , , , , , ,2, ,5, ,8,6, , , , , , ,2, ,1,8,1,1,1,2,2, ,10, ,2,3,1,3,1,4,4,1.47434531711664,0
30907011,20030924,1,15,4, ,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,41, , ,7,8,8,8,6,5,8,9,8,8, , , , , , , , , , , , , , , , , , , , , , , ,1,6,7, ,8,8, , , , , , ,2, ,1,8,2,1,2,1,3,3, , ,4,4,2,1,3,1,97,1.32763043738122,0
30907113,20030924,1,15,4, ,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,10,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,104,100, ,4,4,8,8,8,4,8,7,6,4,10,7,10,8,7,10,7,10,10,6,2, , , , , , , , , , , , ,2, ,5, ,7,2, , , , , , ,1,7,2, ,1,1,2,2,3, ,38, ,5,5,1,4,1,2,98,1.32950730318148,1
30907277,20030924,2,15,6, ,6,0,0,0,0,0,0,0,2,2,0,2,0,0,0,6,0,0,8,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,50, , ,8,8,9,9,9,6,4,9,8,6, , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,6,4, , , , , , ,1,8,2, ,2,4,1,2,3, , ,2,5,5,4,2,1,5,9,1.34321232745191,0
30907466,20030924,1,15,14, ,12,0,0,2,0,0,0,5,0,2,3,4,10,0,2,0,2,0,5,4, , , , , , , , , , , , ,5,7,6,8,5,8,8,8,7,8,8, ,97,7, ,5,2,25,99, ,5,8,9,9,2,3,3,7,7,4,7,7,9,9,8,7,6,8,8,8,2, , , , , , , , , , , , ,2, ,7, ,6,7, , , , , , ,2, ,1,8,1,2,2,2,3, ,7, ,5,4,2,2,1,3,9,1.32763043738122,0
30907576,20030924,1,15,12, ,2,0,0,10,0,0,0,3,2,2,1,4,0,10,0,0,2,0,7,7, , , , , , , , , , , , ,3,2,5,9,8,8,8,3,6,8,8, ,8,7, ,3,1,3, , ,7,8,8,8,7,7,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , ,1,8,8, ,8,7, , , , , , ,2, ,2, ,1,1,1,2,3, ,4, ,3,4,3,1,3,98,98,1.32763043738122,1
30907797,20030924,2,15,5, ,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,2,0,7,5, , , , , , , , , , , , ,2,11,7,8,5,7,8,6,7,9,5,2,7,8, ,2,1,25, , ,7,7,7,7,6,4,5,6,7,5, , , , , , , , , , , , , , , , , , , , , , , ,1,7,6, ,7,6, , , , , , ,2, ,1,9,1,1,1,1,1, , ,2,4,4,4,1,4,3,97,1.34321232745191,1
30908187,20030924,2,14,0,1,.0540832882639265,0,0,0,0,0,0,0,0,0,0,.0540832882639265,0,0,0,.0540832882639265,0,0,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,394, , ,9,9,9,9,8,10,9,9,9,97, , , , , , , , , , , , , , , , , , , , , , , ,2, ,97, ,97,97, , , , , , ,2, ,1,8,1,1,97,1,3,3, , ,4,5,3,3,5,5,9,1.18248673243046,0
30908476,20030924,2,14,2, ,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,3, , , , , , , , , , , , ,4,15,20,3,8,6,3,8,8,5,3,2,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4, ,2,2, , , , , , ,1,2,2, ,3,1,2,1,2, ,9, ,3,3,5,1,1,3,2,1.29862130543675,1
30908796,20030924,2,8,5, ,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,7,7, , , , , , , , , , , , ,1,1,17,6,97,5,98,7,8,6,5,2,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,8, ,9,97, , , , , , ,2, ,2, ,1,4,3,2,3, ,3, ,4,3,4,3,1,3,98,1.18248673243046,1
30909147,20030924,2,14,2, ,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,351, , ,8,7,8,8,9,9,9,8,8,7, , , , , , , , , , , , , , , , , , , , , , , ,2, ,8, ,8,9, , , , , , ,1,9,2, ,1,1,3,1,1, ,5, ,4,5,2,5,6,2,3,1.13702351019604,1
30909978,20030924,2,10,14, ,14,0,0,0,0,0,0,6,2,0,6,0,4,0,10,0,0,0,5,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,160,838, ,9,6,8,8,9,5,5,5,6,10,7,97,8,8,5,9,4,4,5,3,2, , , , , , , , , , , , ,1,3,5, ,5,3, , , , , , ,2, ,2, ,1,95,2,2,3,97, , ,5,5,2,2,4,3,1,.57854310479289,1
30910064,20030924,2,7,4, ,2,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,7,9, , , , , , , , , , , , ,4,3,15,7,98,4,7,8,8,7,97, ,98,7, ,3,1,123, , ,6,8,7,8,4,7,8,8,7,97, , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,7,4, , , , , , ,2, ,2, ,1,1,1,2,3, ,6, ,4,4,2,1,3,3,97,1.06667579946043,1
30916068,20030924,2,12,0,5,.270416441319632,0,0,0,0,0,0,0,0,.270416441319632,0,0,.270416441319632,0,0,0,0,0,7,10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,410, , ,10,10,10,10,10,10,8,10,10,10, , , , , , , , , , , , , , , , , , , , , , , ,2, ,97, ,10,5, , , , , , ,1,10,1,10,1,1,1,2,1, ,15, ,5,5,3,2,1,3,2,.499040407889129,0
30916636,20030924,1,17,0,3,.162249864791779,0,0,0,0,0,0,0,0,.108166576527853,0,.0540832882639265,0,0,0,0,.162249864791779,0,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,250, , ,7,7,10,8,7,7,10,9,8,8, , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,6,5, , , , , , ,1,6,2, ,1,2,1,2,1, ,8, ,5,4,4,1,2,2,4,.112752012627458,0
30907686,20030925,1,8,6, ,0,6,0,0,0,0,0,0,0,4,2,0,0,6,0,0,0,0,9,9, , , , , , , , , , , , ,3,17,3,9,7,7,7,8,8,6,6, ,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,3, ,3,6, , , , , , ,2, ,2, ,1,1,3,1,1, ,4, ,5,2,3,2,3,3,7,1.62112882851192,1
30909063,20030925,1,15,10, ,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,15, , ,8,2,9,10,4,7,3,9,8,9, , , , , , , , , , , , , , , , , , , , , , , ,1,6,7, ,6,4, , , , , , ,2, ,1,5,1,1,2,2,3, ,4, ,5,4,3,1,3,5,3,1.32763043738122,1
30909519,20030925,1,4,2, ,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,7,8, , , , , , , , , , , , ,3,6,20,9,97,8,8,7,9,8,97, ,8,8, ,3,2,99,502, ,9,8,8,8,7,9,9,9,6,9,4,8,7,6,3,7,7,6,4,4,2, , , , , , , , , , , , ,1,7,7, ,7,6, , , , , , ,2, ,1,7,3,1,3,1,3, ,2, ,4,4,5,3,3,5,3,1.34682279083498,0
30910364,20030925,2,1,8, ,8,0,0,0,0,0,0,3,3,2,0,0,0,8,0,0,0,0,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,135, , ,5,8,8,4,9,4,6,9,9,5, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,8,4, , , , , , ,2, ,1,9,1,8,1,1,3, ,4, ,4,4,1,1,3,4,1,1.06667579946043,1
30910455,20030925,2,1,2, ,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,8,7, , , , , , , , , , , , ,1,3,11,10,10,10,10,10,10,9,9, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,9, ,10,97, , , , , , ,2, ,1,7,1,1,2,1,3, ,35, ,5,5,4,4,1,3,9,.816163497119042,1
30910727,20030925,2,6,0,12,0,.432666306111412,0,0,0,.216333153055706,0,.648999459167117,0,0,0,0,0,0,0,0,.648999459167117,0,6,8,1,10,97,6,9,4,8,97,10,97, ,97,1,1,15,9,6,5,4,7,9,8,6, ,8,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,7, ,5,6, , , , , , ,1,10,2, ,3,5,3,1,1,3, , ,4,4,2,3,1,5,9,.549339674153883,0
30910955,20030925,2,2,12, ,0,12,0,0,0,0,0,6,0,6,0,0,10,2,0,0,0,0,10,8, , , , , , , , , , , , ,1,25,15,9,10,10,9,9,9,8,9, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,97, ,10,97, , , , , , ,2, ,1,10,1,1,1,2,3, ,2, ,4,4,3,2,1,5,3,.57854310479289,0
30911199,20030925,2,7,6, ,5,0,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,4,7,3, , , , , , , , , , , , ,3,30,29,10,1,7,8,8,10,8,2,2,97,10, ,3,1,101, , ,7,7,8,10,5,9,6,9,8,4, , , , , , , , , , , , , , , , , , , , , , , ,1,8,4, ,8,7, , , , , , ,1,9,2, ,1,4,3,2,1, ,50, ,97,4,1,5,6,98,98,.877548914279505,0
30914132,20030925,1,13,0,2,.108166576527853,0,0,0,0,0,0,.108166576527853,0,0,0,0,0,0,0,.108166576527853,0,0,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,601, , ,10,10,10,10,10,10,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , , ,2, ,10, ,10,10, , , , , , ,2, ,2, ,1,1,1,1,3, ,30, ,5,5,1,5,6,5,2,.521880744161377,0
30916359,20030925,2,12,9, ,9,0,0,0,0,0,0,3,0,1,5,0,9,0,0,0,0,0,8,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,410, , ,10,10,9,8,10,10,97,6,9,10, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,7,10, , , , , , ,2, ,1,10,1,1,1,2,3, ,3, ,5,5,5,2,2,3,2,.499040407889129,1
30917433,20030925,2,9,2, ,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,255, , ,8,8,8,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , ,2, ,9, ,8,97, , , , , , ,1,9,2, ,1,95,1,2,2, ,7, ,5,5,1,6,6,1,1,.751178964126931,0
30917789,20030925,2,9,4, ,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,20,240, ,8,10,6,6,8,10,4,6,8,8,8,8,10,8,6,10,8,8,8,10,1, , , , , , , , , , , , ,2, ,97, ,8,6, , , , , , ,2, ,2, ,3,2,2,2,1, ,14, ,5,5,3,3,1,3,3,.430356629249645,1
30918104,20030925,2,9,10, ,0,0,0,0,10,0,0,0,5,0,5,0,0,10,0,0,0,0,7,10,4,8,8,9,8,9,8,10,9,97, ,97, , , , , , , , , , , , , , , ,4,3,99,98,246,6,8,9,10,5,9,9,9,8,9,7,8,8,7,10,7,9,9,9,6,2, , , , , , , , , , , , ,1,7,6, ,7,8, , , , , , ,2, ,1,8,1,8,2,1,3, ,1, ,4,4,4,1,3,4,5,.677005365819992,1
30918163,20030925,1,17,8, ,8,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,17, , ,6,8,10,10,8,10,6,7,7,8, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,7,7, , , , , , ,2, ,2, ,1,95,2,1,1, , ,1,5,4,3,2,3,5,1,.112752012627458,0
30907435,20030926,2,15,2, ,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,25, , ,10,9,10,10,2,9,10,10,10,9, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,7,7, , , , , , ,2, ,2, ,1,1,1,1,3, ,30, ,5,4,3,3,5,3,5,1.47434531711664,1
30907638,20030926,2,14,5, ,5,0,0,0,0,0,0,0,4,0,0,1,0,0,5,0,0,0,9,10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,351, , ,10,9,10,10,8,10,10,10,9,10, , , , , , , , , , , , , , , , , , , , , , , ,1,10,6, ,9,5, , , , , , ,2, ,2, ,1,95,1,2,3, ,50, ,4,4,1,6,6,1,2,1.13702351019604,0
30908853,20030926,2,14,0,2,0,.108166576527853,0,0,0,0,0,0,.108166576527853,0,0,0,.108166576527853,0,0,0,0,0,1,2, , , , , , , , , , , , ,2,3,20,9,4,8,6,7,8,6,6, ,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,4,2, , , , , , ,2, ,2, ,1,4,3,1,3, ,9, ,5,3,1,3,1,5,4,1.18248673243046,0
30909566,20030926,2,6,0,2,.108166576527853,0,0,0,0,0,0,0,.0540832882639265,.0540832882639265,0,0,0,0,0,0,.108166576527853,0,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,701, , ,5,5,3,2,7,2,2,8,6,2, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,7,4, , , , , , ,1,8,1,8,3,1,2,1,3, ,35, ,1,3,2,4,2,3,4,.549339674153883,1
30909630,20030926,1,14,1, ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,7, , , , , , , , , , , , ,5,15,20,7,4,7,7,7,7,7,4,2,97,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,7,5, , , , , , ,2, ,2, ,3,1,2,1,3,3, , ,5,3,1,4,1,3,5,1.34682279083498,1
30909854,20030926,1,1,4, ,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,10,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,129, , ,10,7,10,10,10,10,10,10,10,7, , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, ,8,4, , , , , , ,2, ,2, ,1,1,1,2,3, ,1, ,5,97,2,4,2,4,1,5.36079444037249,1
30910488,20030926,2,14,0,2,0,0,0,.108166576527853,0,0,0,.0540832882639265,0,.0540832882639265,0,0,.108166576527853,0,0,0,0,0,2,4, , , , , , , , , , , , ,3,20,6,2,8,9,3,1,1,5,8, ,7,97, ,3,1,99, , ,6,8,9,9,1,7,8,9,8,8, , , , , , , , , , , , , , , , , , , , , , , ,1,5,6, ,8,7, , , , , , ,1,8,2, ,1,1,3,1,2,3, , ,3,3,1,4,1,3,4,1.18248673243046,1
30910743,20030926,2,7,6, ,0,2,0,4,0,0,0,4,0,2,0,0,0,0,4,2,0,0,9,9, , , , , , , , , , , , ,1,15,9,10,97,10,10,8,10,10,5,2,10,10, ,1,2,123,922, ,5,10,10,10,10,1,10,1,2,97,10,10,10,10,10,2,10,1,2,2,1, , , , , , , , , , , , ,2, ,97, ,10,5, , , , , , ,2, ,2, ,3,6,1,1,3, ,5, ,5,5,1,6,6,3,98,.877548914279505,0
30911430,20030926,1,7,3, ,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,7,8, , , , , , , , , , , , ,5,15,4,6,8,7,7,8,9,9,9, ,5,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,3,5, , , , , , ,1,9,1,8,3,1,2,1,3, ,3, ,5,5,2,1,1,3,3,1.84525715665624,1
30911556,20030926,2,1,1, ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,49,19, ,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,97, , , , , , , , , , , , ,1,8,7, ,9,3, , , , , , ,2, ,2, ,1,1,2,1,3, ,30, ,5,4,2,5,5,1,4,.877548914279505,0
30918249,20030926,2,9,10, ,10,0,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,0,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,246,240, ,6,6,7,7,7,5,8,6,4,5,5,6,8,7,6,6,10,7,6,7,1, , , , , , , , , , , , ,2, ,6, ,7,5, , , , , , ,2, ,2, ,1,2,2,2,3, ,15, ,4,4,4,2,1,4,3,.677005365819992,0
